DC_NOME;SG_ESTADO;CD_SITUACAO;VL_LATITUDE;VL_LONGITUDE;VL_ALTITUDE;DT_INICIO_OPERACAO;CD_ESTACAO
QUIXERAMOBIM;CE;Pane;-5,17444443;-39,28944444;221,04;08/07/2007;A325
RANCHARIA;SP;Operante;-22,37277777;-50,97472221;398,75;31/08/2006;A718
RANCHO QUEIMADO;SC;Operante;-27,6786111;-49,04194444;881;30/05/2016;A870
RECIFE;PE;Pane;-8,05916666;-34,95916666;11,3;21/12/2004;A301
REDENCAO;PA;Operante;-8,04333333;-50,00694444;199;10/07/2019;A254
REGISTRO;SP;Operante;-24,53305554;-47,86416666;35;08/02/2017;A766
REMANSO;BA;Operante;-9,62555554;-42,07722221;397,4;25/03/2008;A423
RESENDE;RJ;Operante;-22,45138888;-44,44499999;438,83;28/09/2006;A609
RIBEIRA DO AMPARO;BA;Operante;-11,05861111;-38,44416666;182;19/09/2018;A458
RIO BRANCO;AC;Pane;-9,67972221;-68,16527777;163;10/07/2008;A104
RIO BRILHANTE;MS;Operante;-21,77499999;-54,52805554;324,31;25/06/2008;A743
RIO CLARO;RJ;Operante;-22,653579;-44,040916;516;02/06/2016;A626
RIO DE JANEIRO - FORTE DE COPACABANA;RJ;Operante;-22,98833333;-43,19055555;25,59;17/05/2007;A652
RIO DE JANEIRO - JACAREPAGUA;RJ;Operante;-22,93999999;-43,40277777;20;09/08/2017;A636
RIO DE JANEIRO - VILA MILITAR;RJ;Operante;-22,86138888;-43,41138888;30,43;12/04/2007;A621
RIO DE JANEIRO-MARAMBAIA;RJ;Operante;-23,05027777;-43,59555555;12;07/11/2002;A602
RIO DO CAMPO;SC;Operante;-26,93749999;-50,14555555;591,67;09/03/2008;A861
RIO GRANDE;RS;Operante;-32,07888888;-52,16777777;4,92;15/11/2001;A802
RIO NEGRINHO;SC;Operante;-26,2486111;-49,57416666;800;21/03/2008;A862
RIO PARDO;RS;Operante;-29,87222221;-52,38194443;106,99;29/09/2006;A813
RIO PARDO DE MINAS;MG;Operante;-15,72305554;-42,43583333;850,06;16/11/2007;A551
RIO SONO;TO;Operante;-9,793363;-47,132732;291;02/08/2016;A050
